RMSC,43.1503003,-77.5874956
Highland Park,43.1302738,-77.6747131
MCC,43.1012962,-77.6804638
ROC Airport,43.1225373,-77.7365971
Ontario Beach Park,43.2539468,-77.5999028
Strong Memorial Hospital,43.1231149,-77.6293489
